checkoutToLoginRatio,cartToSearchRatio,highMemFraction,totalEstimatedCost,invocationEntropy,totalInvocations,hour_of_day,invocations_login,invocations_search,invocations_product,invocations_cart,invocations_checkout,avgDurationMs_login,avgDurationMs_search,avgDurationMs_product,avgDurationMs_cart,avgDurationMs_checkout,estimatedCost_login,estimatedCost_search,estimatedCost_product,estimatedCost_cart,estimatedCost_checkout,deltaTotalInvocations,deltaTotalEstimatedCost,anomaly,anomalyScore
0.0,0.75,0.125,1e-08,1.7158,24.0,1.0,4.0,4.0,13.0,3.0,0.0,68.15,167.52,106.3,135.19,0.0,0.0,0.0,1e-08,0.0,0.0,3.0,1e-08,0,0.0
1.0,1.0,0.2857,0.0,2.1281,7.0,1.0,1.0,1.0,3.0,1.0,1.0,76.15,44.74,100.64,93.96,548.3,0.0,0.0,0.0,0.0,0.0,-17.0,-1e-08,0,0.0
0.0,0.1667,0.0769,0.0,1.7381,13.0,1.0,2.0,6.0,4.0,1.0,0.0,50.65,117.85,106.17,110.78,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0
0.5,1.0,0.2609,1e-08,2.1527,23.0,1.0,4.0,4.0,9.0,4.0,2.0,47.91,117.14,105.21,135.75,413.62,0.0,0.0,0.0,0.0,1e-08,10.0,1e-08,0,0.0
0.0,0.2857,0.0556,1e-08,1.6215,36.0,2.0,7.0,7.0,20.0,2.0,0.0,53.67,105.88,103.02,115.44,0.0,0.0,0.0,1e-08,0.0,0.0,13.0,0.0,0,0.0
0.2222,0.6,0.1538,2e-08,1.9436,52.0,2.0,9.0,10.0,25.0,6.0,2.0,62.85,93.19,112.52,156.73,358.32,0.0,0.0,1e-08,0.0,1e-08,16.0,1e-08,0,0.0
1.0,1.0,0.2857,1e-08,2.1281,21.0,2.0,3.0,3.0,9.0,3.0,3.0,56.42,126.29,94.7,145.43,306.43,0.0,0.0,0.0,0.0,1e-08,-31.0,-1e-08,0,0.0
0.0,0.4,0.0833,2e-08,1.6802,48.0,2.0,8.0,10.0,26.0,4.0,0.0,58.43,121.02,110.02,135.81,0.0,0.0,1e-08,1e-08,0.0,0.0,27.0,1e-08,0,0.0
0.1111,0.4545,0.1111,2e-08,1.8142,54.0,2.0,9.0,11.0,28.0,5.0,1.0,47.67,130.57,112.75,152.22,395.3,0.0,1e-08,1e-08,0.0,0.0,6.0,0.0,0,0.0
0.4,0.4167,0.1552,3e-08,1.9919,58.0,2.0,10.0,12.0,27.0,5.0,4.0,46.83,120.79,108.2,123.77,348.59,0.0,1e-08,1e-08,0.0,1e-08,4.0,9.999999999999997e-09,0,0.0
0.1429,0.5714,0.122,1e-08,1.811,41.0,2.0,7.0,7.0,22.0,4.0,1.0,68.34,126.85,103.16,145.82,580.1,0.0,0.0,1e-08,0.0,0.0,-17.0,-1.9999999999999997e-08,0,0.0
0.0,0.3333,0.0741,1e-08,1.6396,27.0,2.0,4.0,6.0,15.0,2.0,0.0,45.74,122.48,107.25,123.8,0.0,0.0,0.0,1e-08,0.0,0.0,-14.0,0.0,0,0.0
0.2222,0.4167,0.1321,3e-08,1.9307,53.0,2.0,9.0,12.0,25.0,5.0,2.0,50.26,127.45,103.51,126.99,392.41,0.0,1e-08,1e-08,0.0,1e-08,26.0,1.9999999999999997e-08,0,0.0
0.2,0.6,0.1333,2e-08,1.8411,60.0,2.0,10.0,10.0,32.0,6.0,2.0,52.46,117.36,103.76,149.43,446.01,0.0,0.0,1e-08,0.0,1e-08,7.0,-9.999999999999997e-09,0,0.0
0.25,0.2857,0.1364,0.0,2.0207,22.0,2.0,4.0,7.0,8.0,2.0,1.0,40.64,117.64,74.06,114.83,459.23,0.0,0.0,0.0,0.0,0.0,-38.0,-2e-08,0,0.0
0.1429,0.4667,0.1216,3e-08,1.8895,74.0,2.0,14.0,15.0,36.0,7.0,2.0,56.57,128.19,100.79,141.98,236.21,0.0,1e-08,2e-08,0.0,0.0,52.0,3e-08,0,0.0
0.0,0.6,0.1319,4e-08,1.8465,91.0,3.0,18.0,20.0,41.0,12.0,0.0,58.74,130.17,98.44,132.49,0.0,0.0,1e-08,2e-08,1e-08,0.0,17.0,1.0000000000000004e-08,0,0.0
0.0833,0.6667,0.1324,3e-08,1.8292,68.0,3.0,12.0,12.0,35.0,8.0,1.0,60.37,127.45,96.76,153.67,495.98,0.0,1e-08,1e-08,1e-08,0.0,-23.0,-1.0000000000000004e-08,0,0.0
0.1429,0.5,0.119,1e-08,1.8266,42.0,3.0,7.0,8.0,22.0,4.0,1.0,54.99,129.14,96.48,121.37,508.51,0.0,0.0,1e-08,0.0,0.0,-26.0,-1.9999999999999997e-08,0,0.0
0.0667,0.5,0.1059,4e-08,1.7772,85.0,3.0,15.0,16.0,45.0,8.0,1.0,46.92,107.65,95.52,163.27,238.29,0.0,1e-08,2e-08,1e-08,0.0,43.0,3.0000000000000004e-08,0,0.0
0.2857,0.5,0.1364,2e-08,1.8755,44.0,3.0,7.0,8.0,23.0,4.0,2.0,56.04,120.54,89.12,133.9,445.6,0.0,0.0,1e-08,0.0,1e-08,-41.0,-2e-08,0,0.0
0.0,0.5,0.1163,2e-08,1.8154,43.0,3.0,8.0,10.0,20.0,5.0,0.0,40.46,120.59,112.08,149.37,0.0,0.0,1e-08,1e-08,0.0,0.0,-1.0,0.0,0,0.0
0.0,0.5,0.0984,2e-08,1.7245,61.0,3.0,11.0,12.0,32.0,6.0,0.0,46.02,103.48,105.45,141.5,0.0,0.0,1e-08,1e-08,0.0,0.0,18.0,0.0,0,0.0
0.1818,0.5625,0.141,5e-08,1.8564,78.0,3.0,11.0,16.0,40.0,9.0,2.0,47.98,123.12,99.21,161.08,561.29,0.0,1e-08,2e-08,1e-08,1e-08,17.0,3e-08,0,0.0
0.0,0.5,0.1148,3e-08,1.8014,61.0,3.0,11.0,14.0,29.0,7.0,0.0,56.64,119.64,106.22,174.34,0.0,0.0,1e-08,1e-08,1e-08,0.0,-17.0,-2e-08,0,0.0
0.1176,0.5,0.125,5e-08,1.8963,88.0,3.0,17.0,18.0,42.0,9.0,2.0,52.42,121.62,101.81,144.82,421.12,0.0,1e-08,2e-08,1e-08,1e-08,27.0,2e-08,0,0.0
0.0,0.5,0.0862,1e-08,1.6109,58.0,3.0,9.0,10.0,34.0,5.0,0.0,55.45,105.25,100.61,138.97,0.0,0.0,0.0,1e-08,0.0,0.0,-30.0,-4e-08,0,0.0
0.1429,0.3333,0.1096,3e-08,1.9112,73.0,3.0,14.0,18.0,33.0,6.0,2.0,54.14,123.47,103.11,137.93,454.59,0.0,1e-08,1e-08,0.0,1e-08,15.0,1.9999999999999997e-08,0,0.0
0.1667,0.7143,0.1622,5e-08,1.9168,74.0,4.0,12.0,14.0,36.0,10.0,2.0,54.27,113.35,103.99,137.59,351.04,0.0,1e-08,2e-08,1e-08,1e-08,1.0,2e-08,0,0.0
0.0714,0.5,0.1139,4e-08,1.8205,79.0,4.0,14.0,16.0,40.0,8.0,1.0,57.41,103.68,107.97,153.53,568.51,0.0,1e-08,2e-08,1e-08,0.0,5.0,-9.999999999999997e-09,0,0.0
0.3684,0.6842,0.1739,6e-08,1.9615,115.0,4.0,19.0,19.0,57.0,13.0,7.0,52.39,131.87,105.01,144.07,424.82,0.0,1e-08,2e-08,1e-08,2e-08,36.0,1.9999999999999994e-08,0,0.0
0.0,0.55,0.125,4e-08,1.8494,88.0,4.0,18.0,20.0,39.0,11.0,0.0,51.17,127.43,96.79,154.59,0.0,0.0,1e-08,2e-08,1e-08,0.0,-27.0,-1.9999999999999994e-08,0,0.0
0.125,0.4,0.1064,5e-08,1.8257,94.0,4.0,16.0,20.0,48.0,8.0,2.0,52.5,127.41,96.89,177.25,479.53,0.0,1e-08,2e-08,1e-08,1e-08,6.0,9.999999999999997e-09,0,0.0
0.0625,0.3636,0.0918,4e-08,1.7637,98.0,4.0,16.0,22.0,51.0,8.0,1.0,48.79,110.61,99.96,154.67,360.94,0.0,1e-08,2e-08,1e-08,0.0,4.0,-9.999999999999997e-09,0,0.0
0.1667,0.45,0.1121,5e-08,1.8138,107.0,4.0,18.0,20.0,57.0,9.0,3.0,55.17,113.95,94.68,176.74,419.82,0.0,1e-08,2e-08,1e-08,1e-08,9.0,9.999999999999997e-09,0,0.0
0.1667,0.6429,0.1719,4e-08,2.012,64.0,4.0,12.0,14.0,27.0,9.0,2.0,56.46,122.96,99.86,149.9,381.82,0.0,1e-08,1e-08,1e-08,1e-08,-43.0,-9.999999999999997e-09,0,0.0
0.2667,0.5882,0.1591,5e-08,1.9619,88.0,4.0,15.0,17.0,42.0,10.0,4.0,47.81,100.22,97.75,146.62,353.05,0.0,1e-08,2e-08,1e-08,1e-08,24.0,9.999999999999997e-09,0,0.0
0.0526,0.6316,0.1171,5e-08,1.7597,111.0,4.0,19.0,19.0,60.0,12.0,1.0,56.0,107.85,103.63,153.7,461.56,0.0,1e-08,3e-08,1e-08,0.0,23.0,0.0,0,0.0
0.1176,0.6316,0.1474,5e-08,1.9135,95.0,4.0,17.0,19.0,45.0,12.0,2.0,52.85,119.42,98.03,144.58,305.11,0.0,1e-08,2e-08,1e-08,1e-08,-16.0,0.0,0,0.0
0.2667,0.4444,0.1364,6e-08,1.9254,88.0,4.0,15.0,18.0,43.0,8.0,4.0,56.74,117.23,95.74,174.53,473.37,0.0,1e-08,2e-08,1e-08,2e-08,-7.0,9.999999999999997e-09,0,0.0
0.0889,0.3898,0.1038,1.2e-07,1.8274,260.0,5.0,45.0,59.0,129.0,23.0,4.0,51.21,118.49,100.29,163.64,466.35,0.0,3e-08,5e-08,2e-08,2e-08,172.0,6e-08,0,0.0
0.1875,0.6429,0.1545,1.9e-07,1.9316,369.0,5.0,64.0,70.0,178.0,45.0,12.0,53.51,116.16,103.93,157.15,375.71,1e-08,3e-08,8e-08,3e-08,4e-08,109.0,7.000000000000002e-08,0,0.0
0.0714,0.4375,0.1026,9e-08,1.8004,234.0,5.0,42.0,48.0,120.0,21.0,3.0,56.2,117.3,103.24,150.17,421.65,0.0,2e-08,5e-08,1e-08,1e-08,-135.0,-1.0000000000000001e-07,0,0.0
0.0727,0.3824,0.1017,1.4e-07,1.8405,295.0,5.0,55.0,68.0,142.0,26.0,4.0,52.85,128.18,100.06,152.11,357.23,1e-08,4e-08,6e-08,2e-08,1e-08,61.0,5.000000000000001e-08,0,0.0
0.1471,0.5789,0.1357,1.9e-07,1.8753,398.0,5.0,68.0,76.0,200.0,44.0,10.0,49.9,120.07,98.91,148.7,392.93,1e-08,4e-08,8e-08,3e-08,3e-08,103.0,5e-08,0,0.0
0.0952,0.5352,0.1205,1.6e-07,1.8285,365.0,5.0,63.0,71.0,187.0,38.0,6.0,52.46,110.62,100.7,149.65,382.81,1e-08,3e-08,8e-08,2e-08,2e-08,-33.0,-3.0000000000000004e-08,0,0.0
0.1613,0.4744,0.1274,1.8e-07,1.883,369.0,5.0,62.0,78.0,182.0,37.0,10.0,52.58,117.17,103.32,143.93,353.65,1e-08,4e-08,8e-08,2e-08,3e-08,4.0,1.9999999999999994e-08,0,0.0
0.2063,0.6081,0.151,2e-07,1.9168,384.0,5.0,63.0,74.0,189.0,45.0,13.0,50.25,123.33,100.56,154.53,394.75,1e-08,4e-08,8e-08,3e-08,4e-08,15.0,1.9999999999999994e-08,0,0.0
0.1299,0.5222,0.1242,2.2e-07,1.8444,459.0,5.0,77.0,90.0,235.0,47.0,10.0,50.13,120.38,103.3,163.93,362.33,1e-08,5e-08,1e-07,3e-08,3e-08,75.0,2.000000000000002e-08,0,0.0
0.0256,0.4458,0.0944,1.7e-07,1.7611,413.0,5.0,78.0,83.0,213.0,37.0,2.0,53.01,128.59,102.53,150.26,346.31,1e-08,4e-08,9e-08,2e-08,1e-08,-46.0,-5.0000000000000024e-08,0,0.0
0.1566,0.5208,0.1296,2.4e-07,1.874,486.0,5.0,83.0,96.0,244.0,50.0,13.0,55.98,122.64,98.53,153.1,464.73,1e-08,5e-08,1e-07,3e-08,5e-08,73.0,6.999999999999999e-08,0,0.0
0.1596,0.5327,0.1346,2.7e-07,1.8983,535.0,5.0,94.0,107.0,262.0,57.0,15.0,48.91,123.22,99.36,154.5,422.43,1e-08,6e-08,1.1e-07,4e-08,5e-08,49.0,3.000000000000003e-08,0,0.0
0.1236,0.5429,0.1278,2.4e-07,1.8511,532.0,6.0,89.0,105.0,270.0,57.0,11.0,50.2,120.45,101.89,158.89,350.98,1e-08,5e-08,1.1e-07,4e-08,3e-08,-3.0,-3.000000000000003e-08,0,0.0
0.1047,0.4639,0.1149,2.2e-07,1.8534,470.0,6.0,86.0,97.0,233.0,45.0,9.0,52.21,121.46,101.4,144.78,423.14,1e-08,5e-08,1e-07,3e-08,3e-08,-62.0,-1.9999999999999967e-08,0,0.0
0.1,0.4386,0.1083,2.5e-07,1.8304,554.0,6.0,100.0,114.0,280.0,50.0,10.0,55.19,122.87,102.3,158.51,378.76,1e-08,6e-08,1.2e-07,3e-08,3e-08,84.0,2.999999999999998e-08,0,0.0
0.1889,0.5556,0.1429,2.7e-07,1.9101,539.0,6.0,90.0,108.0,264.0,60.0,17.0,52.44,117.21,100.27,160.01,404.73,1e-08,5e-08,1.1e-07,4e-08,6e-08,-15.0,2.000000000000002e-08,0,0.0
0.1089,0.4915,0.1208,2.6e-07,1.8589,571.0,6.0,101.0,118.0,283.0,58.0,11.0,49.54,116.35,101.89,153.4,349.05,1e-08,6e-08,1.2e-07,4e-08,3e-08,32.0,-1.000000000000001e-08,0,0.0
0.1319,0.4444,0.1176,2.4e-07,1.8695,510.0,6.0,91.0,108.0,251.0,48.0,12.0,50.35,116.74,101.59,156.57,431.42,1e-08,5e-08,1.1e-07,3e-08,4e-08,-61.0,-2.000000000000002e-08,0,0.0
0.1855,0.5725,0.1413,3.6e-07,1.9023,722.0,6.0,124.0,138.0,358.0,79.0,23.0,51.09,119.29,101.91,147.04,394.83,1e-08,7e-08,1.5e-07,5e-08,8e-08,212.0,1.2000000000000002e-07,0,0.0
0.1188,0.5263,0.122,2.8e-07,1.8375,590.0,6.0,101.0,114.0,303.0,60.0,12.0,52.86,124.65,100.72,149.93,380.34,1e-08,6e-08,1.3e-07,4e-08,4e-08,-132.0,-7.999999999999998e-08,0,0.0
0.0642,0.4173,0.0979,2.6e-07,1.7846,613.0,6.0,109.0,127.0,317.0,53.0,7.0,52.76,122.34,103.53,147.38,343.96,1e-08,6e-08,1.4e-07,3e-08,2e-08,23.0,-2.000000000000002e-08,0,0.0
0.1626,0.5524,0.1383,3.6e-07,1.8999,716.0,6.0,123.0,143.0,351.0,79.0,20.0,53.79,121.73,101.24,150.9,449.16,1e-08,7e-08,1.5e-07,5e-08,8e-08,103.0,1e-07,0,0.0
0.1545,0.5035,0.1278,3.5e-07,1.8772,712.0,6.0,123.0,143.0,355.0,72.0,19.0,51.81,116.74,102.23,152.48,415.19,1e-08,7e-08,1.5e-07,5e-08,7e-08,-4.0,-1.000000000000001e-08,0,0.0
0.1216,0.5238,0.125,4.1e-07,1.8584,848.0,6.0,148.0,168.0,426.0,88.0,18.0,52.12,132.59,101.48,158.42,430.1,2e-08,9e-08,1.8e-07,6e-08,6e-08,136.0,6.000000000000001e-08,0,0.0
0.1157,0.5397,0.1265,7.1e-07,1.8579,1534.0,7.0,268.0,302.0,770.0,163.0,31.0,51.2,126.81,101.05,157.06,349.52,3e-08,1.6e-07,3.2e-07,1.1e-07,9e-08,686.0,3e-07,0,0.0
0.1045,0.5185,0.1206,7.6e-07,1.8405,1642.0,7.0,287.0,324.0,833.0,168.0,30.0,52.74,122.7,100.81,149.76,416.0,3e-08,1.7e-07,3.5e-07,1.1e-07,1e-07,108.0,5.000000000000005e-08,0,0.0
0.0966,0.4853,0.117,7.6e-07,1.8419,1650.0,7.0,290.0,340.0,827.0,165.0,28.0,49.97,120.73,102.02,155.79,418.63,3e-08,1.7e-07,3.5e-07,1.1e-07,1e-07,8.0,0.0,0,0.0
0.1166,0.483,0.1159,7.4e-07,1.833,1631.0,7.0,283.0,323.0,836.0,156.0,33.0,51.72,119.49,100.71,145.47,397.46,3e-08,1.6e-07,3.5e-07,9e-08,1.1e-07,-19.0,-2.000000000000002e-08,0,0.0
0.1158,0.4548,0.1195,7.4e-07,1.8704,1623.0,7.0,285.0,354.0,790.0,161.0,33.0,52.47,116.55,101.27,151.89,382.51,3e-08,1.7e-07,3.3e-07,1e-07,1.1e-07,-8.0,0.0,0,0.0
0.1093,0.4833,0.1213,7.8e-07,1.8654,1707.0,7.0,302.0,360.0,838.0,174.0,33.0,52.22,120.85,101.61,152.69,374.52,3e-08,1.8e-07,3.6e-07,1.1e-07,1e-07,84.0,4.000000000000004e-08,0,0.0
0.1139,0.5232,0.1281,8.1e-07,1.8778,1780.0,7.0,316.0,367.0,869.0,192.0,36.0,50.9,122.81,100.06,151.49,372.46,3e-08,1.9e-07,3.6e-07,1.2e-07,1.1e-07,73.0,2.9999999999999925e-08,0,0.0
0.1086,0.5,0.1208,8.4e-07,1.8494,1804.0,7.0,313.0,368.0,905.0,184.0,34.0,51.51,122.18,101.06,152.79,407.09,3e-08,1.9e-07,3.8e-07,1.2e-07,1.2e-07,24.0,3.000000000000003e-08,0,0.0
0.1282,0.5514,0.1336,8.8e-07,1.8788,1827.0,7.0,312.0,370.0,901.0,204.0,40.0,53.12,121.51,101.2,152.3,442.53,3e-08,1.9e-07,3.8e-07,1.3e-07,1.5e-07,23.0,4.000000000000004e-08,0,0.0
0.1139,0.5315,0.1238,8.6e-07,1.8421,1858.0,7.0,316.0,365.0,947.0,194.0,36.0,50.1,118.74,102.51,154.11,404.38,3e-08,1.8e-07,4.1e-07,1.2e-07,1.2e-07,31.0,-2.000000000000002e-08,0,0.0
0.1114,0.4332,0.1105,9e-07,1.839,1928.0,7.0,341.0,404.0,970.0,175.0,38.0,51.16,119.46,102.5,148.52,396.51,4e-08,2e-07,4.2e-07,1.1e-07,1.3e-07,70.0,3.9999999999999935e-08,0,0.0
0.1019,0.4833,0.1153,9.5e-07,1.8321,2082.0,7.0,363.0,420.0,1059.0,203.0,37.0,51.63,121.72,102.64,149.83,381.48,4e-08,2.1e-07,4.5e-07,1.3e-07,1.2e-07,154.0,5.000000000000005e-08,0,0.0
0.089,0.4552,0.1127,8.9e-07,1.8352,1934.0,8.0,337.0,413.0,966.0,188.0,30.0,52.44,123.18,103.31,152.68,391.07,4e-08,2.1e-07,4.2e-07,1.2e-07,1e-07,-148.0,-6.000000000000006e-08,0,0.0
0.1141,0.4809,0.1205,9.9e-07,1.8629,2132.0,8.0,377.0,445.0,1053.0,214.0,43.0,52.17,119.39,101.53,150.74,418.94,4e-08,2.2e-07,4.5e-07,1.3e-07,1.5e-07,198.0,1.000000000000001e-07,0,0.0
0.1058,0.4916,0.1188,9.4e-07,1.8458,2054.0,8.0,359.0,419.0,1032.0,206.0,38.0,51.5,120.83,100.73,153.12,394.36,4e-08,2.1e-07,4.3e-07,1.3e-07,1.3e-07,-78.0,-5.000000000000005e-08,0,0.0
0.1024,0.4944,0.1223,9.7e-07,1.8642,2101.0,8.0,371.0,443.0,1030.0,219.0,38.0,52.16,121.88,101.8,151.94,382.28,4e-08,2.3e-07,4.4e-07,1.4e-07,1.2e-07,47.0,3.000000000000003e-08,0,0.0
0.0907,0.5022,0.1195,1e-06,1.8377,2193.0,8.0,375.0,454.0,1102.0,228.0,34.0,51.77,120.46,101.32,156.91,401.87,4e-08,2.3e-07,4.7e-07,1.5e-07,1.1e-07,92.0,2.9999999999999925e-08,0,0.0
0.1085,0.4749,0.1169,1.04e-06,1.8438,2225.0,8.0,387.0,459.0,1119.0,218.0,42.0,51.27,121.12,101.78,155.94,415.76,4e-08,2.3e-07,4.8e-07,1.4e-07,1.5e-07,32.0,4.000000000000004e-08,0,0.0
0.1097,0.4827,0.1198,1.03e-06,1.8578,2221.0,8.0,392.0,462.0,1101.0,223.0,43.0,51.62,119.45,102.33,149.49,421.54,4e-08,2.3e-07,4.7e-07,1.4e-07,1.5e-07,-4.0,-9.999999999999904e-09,0,0.0
0.1396,0.4936,0.1239,1.09e-06,1.8615,2309.0,8.0,394.0,468.0,1161.0,231.0,55.0,51.35,123.63,101.22,150.34,397.14,4e-08,2.4e-07,4.9e-07,1.4e-07,1.8e-07,88.0,5.999999999999985e-08,0,0.0
0.1108,0.5096,0.1217,1.1e-06,1.8532,2350.0,8.0,415.0,471.0,1178.0,240.0,46.0,52.06,122.71,100.55,150.59,435.45,5e-08,2.4e-07,4.9e-07,1.5e-07,1.7e-07,41.0,1.0000000000000116e-08,0,0.0
0.0998,0.4837,0.1187,1.08e-06,1.8497,2351.0,8.0,411.0,492.0,1169.0,238.0,41.0,51.99,122.26,101.48,150.54,399.01,4e-08,2.5e-07,5e-07,1.5e-07,1.4e-07,1.0,-2.000000000000002e-08,0,0.0
0.1262,0.5135,0.127,1.11e-06,1.8737,2354.0,8.0,412.0,481.0,1162.0,247.0,52.0,52.22,121.92,101.02,154.84,420.79,4e-08,2.4e-07,4.9e-07,1.6e-07,1.8e-07,3.0,2.9999999999999925e-08,0,0.0
0.133,0.5021,0.1252,1.13e-06,1.8649,2372.0,8.0,406.0,484.0,1185.0,243.0,54.0,52.27,122.39,102.97,147.95,407.37,4e-08,2.5e-07,5.1e-07,1.5e-07,1.8e-07,18.0,2.000000000000002e-08,0,0.0
0.1167,0.4971,0.1222,1.19e-06,1.8604,2488.0,9.0,437.0,509.0,1238.0,253.0,51.0,53.18,120.07,102.0,148.68,435.02,5e-08,2.6e-07,5.3e-07,1.6e-07,1.9e-07,116.0,6.000000000000006e-08,0,0.0
0.125,0.5131,0.1257,1.24e-06,1.864,2642.0,9.0,456.0,536.0,1318.0,275.0,57.0,50.49,120.97,101.05,152.89,373.34,5e-08,2.7e-07,5.6e-07,1.8e-07,1.8e-07,154.0,4.9999999999999945e-08,0,0.0
0.1283,0.499,0.12,1.24e-06,1.8456,2592.0,9.0,452.0,507.0,1322.0,253.0,58.0,52.27,126.89,101.52,148.76,403.75,5e-08,2.7e-07,5.6e-07,1.6e-07,2e-07,-50.0,0.0,0,0.0
0.1509,0.4721,0.1233,1.24e-06,1.8691,2603.0,9.0,444.0,538.0,1300.0,254.0,67.0,51.4,117.61,101.82,158.08,383.68,5e-08,2.6e-07,5.5e-07,1.7e-07,2.1e-07,11.0,0.0,0,0.0
0.1242,0.4885,0.1208,1.31e-06,1.8539,2790.0,9.0,483.0,567.0,1403.0,277.0,60.0,51.93,119.87,102.18,153.42,397.78,5e-08,2.8e-07,6e-07,1.8e-07,2e-07,187.0,6.999999999999997e-08,0,0.0
0.0987,0.513,0.1185,1.24e-06,1.8272,2726.0,9.0,466.0,540.0,1397.0,277.0,46.0,51.1,123.24,100.52,152.92,376.72,5e-08,2.8e-07,5.9e-07,1.8e-07,1.4e-07,-64.0,-6.999999999999997e-08,0,0.0
0.1202,0.5163,0.126,1.34e-06,1.8668,2864.0,9.0,499.0,583.0,1421.0,301.0,60.0,51.94,123.4,101.18,150.25,398.69,5e-08,3e-07,6e-07,1.9e-07,2e-07,138.0,1.000000000000001e-07,0,0.0
0.1053,0.4983,0.1183,1.34e-06,1.8409,2924.0,9.0,513.0,586.0,1479.0,292.0,54.0,51.21,121.9,101.71,150.44,394.46,5e-08,3e-07,6.3e-07,1.8e-07,1.8e-07,60.0,0.0,0,0.0
0.1214,0.4921,0.1196,1.3e-06,1.8429,2843.0,9.0,486.0,571.0,1446.0,281.0,59.0,51.65,120.97,100.36,148.91,366.48,5e-08,2.9e-07,6.1e-07,1.7e-07,1.8e-07,-81.0,-4.000000000000004e-08,0,0.0
0.1182,0.4966,0.1185,1.38e-06,1.8394,2970.0,9.0,516.0,586.0,1516.0,291.0,61.0,50.43,118.59,101.96,153.55,400.63,5e-08,2.9e-07,6.5e-07,1.9e-07,2e-07,127.0,7.999999999999987e-08,0,0.0
0.1032,0.4704,0.1175,1.32e-06,1.8476,2867.0,9.0,494.0,608.0,1428.0,286.0,51.0,52.21,124.12,101.29,149.44,398.99,5e-08,3.2e-07,6e-07,1.8e-07,1.7e-07,-103.0,-5.999999999999985e-08,0,0.0
0.1028,0.5064,0.1202,1.41e-06,1.8432,3079.0,9.0,535.0,622.0,1552.0,315.0,55.0,50.96,121.76,100.79,149.99,395.9,6e-08,3.2e-07,6.5e-07,2e-07,1.8e-07,212.0,8.999999999999999e-08,0,0.0
0.1245,0.4755,0.119,1.4e-06,1.8506,2984.0,10.0,514.0,612.0,1503.0,291.0,64.0,51.5,120.29,100.96,149.42,419.6,6e-08,3.1e-07,6.3e-07,1.8e-07,2.2e-07,-95.0,-1.0000000000000116e-08,0,0.0
0.1342,0.4992,0.1255,1.47e-06,1.8696,3068.0,10.0,529.0,629.0,1525.0,314.0,71.0,51.38,121.44,102.18,151.58,401.02,6e-08,3.2e-07,6.5e-07,2e-07,2.4e-07,84.0,6.999999999999997e-08,0,0.0
0.1071,0.4854,0.1172,1.48e-06,1.8409,3208.0,10.0,560.0,651.0,1621.0,316.0,60.0,49.87,122.07,102.48,151.59,390.86,6e-08,3.3e-07,6.9e-07,2e-07,2e-07,140.0,1.0000000000000116e-08,0,0.0
